Luisa Cortés Tapia,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Clemente Villa Mateo,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Antonio Valentín Gonzales,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Eduardo Ontiveros Armas,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Gilberto López Moya,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Rodrigo Zapata Ybarra,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Marco Antonio Aponte Fuentes,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Marco Antonio Mota de Zamarripa,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Martín Córdova Mondragón,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Vicente Matías de Fonseca,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Víctor Bonilla Juárez,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Susana Quesada Toledo,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Emiliano Mesa Solorio,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Timoteo Gaitán Cornejo,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Brayan Esquibel Elizondo,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Federico Velasco Vanegas,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Elías Delatorre Kardache soto,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
César Domínguez de Leyva,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Sancho Tijerina Salcedo,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Hernán Quezada Jiménez,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Luis Miguel Bernal Carrasco,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Carlota Kanaria Corral,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Iker Madrigal Blanco,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Felipe Carrasquillo Tórrez,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Carlos Quesada Echevarría,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
José Muñoz de Romero,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Sancho Hernández Camarillo,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Damián Xenia Vaca,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Claudio Pagan Gurule,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
María Fernanda Jiménez de Márquez,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Clemente Delgadillo Guillen,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Armando Delao Quintero de la cruz,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Claudio Cadena Cantú,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
José Luis Delrío Valverde,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Pablo Saldaña Quiroz,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Luis Yami Guerrero,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Alejandro Ortiz Razo,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Eva Alba Lucio,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Carlos Rivas Zúñiga,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Joaquín Gil de Chavarría,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Erick Romo Linares,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
María de Jesús Vergara Cruz,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Samuel Esquibel Calderón,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Ernesto Otero Alaniz,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Brandon Ozuna Montes,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
